assists,goals,attempts,event_team
0,24,116,Troyes
1,15,229,Troyes
2,13,112,Troyes
3,2,11,Troyes
4,5,9,Troyes
0,65,596,Lorient
1,80,1131,Lorient
2,56,365,Lorient
3,9,58,Lorient
4,13,54,Lorient
0,36,322,Mallorca
1,30,422,Mallorca
2,27,257,Mallorca
3,4,67,Mallorca
4,6,30,Mallorca
0,58,552,Malaga
1,67,908,Malaga
2,50,404,Malaga
3,5,55,Malaga
4,12,72,Malaga
0,62,644,Werder Bremen
1,98,928,Werder Bremen
2,38,370,Werder Bremen
3,11,85,Werder Bremen
4,18,45,Werder Bremen
0,79,657,Borussia Dortmund
1,150,1206,Borussia Dortmund
2,43,390,Borussia Dortmund
3,6,76,Borussia Dortmund
4,22,70,Borussia Dortmund
0,54,417,Sochaux
1,34,576,Sochaux
2,42,342,Sochaux
3,5,55,Sochaux
4,12,39,Sochaux
0,48,402,Stade de Reims
1,46,603,Stade de Reims
2,36,331,Stade de Reims
3,3,54,Stade de Reims
4,9,39,Stade de Reims
0,59,472,Valenciennes
1,41,670,Valenciennes
2,31,346,Valenciennes
3,6,45,Valenciennes
4,9,43,Valenciennes
0,46,423,AC Ajaccio
1,55,619,AC Ajaccio
2,38,243,AC Ajaccio
3,5,49,AC Ajaccio
4,5,40,AC Ajaccio
0,56,348,Bastia
1,30,513,Bastia
2,42,266,Bastia
3,6,42,Bastia
4,8,45,Bastia
0,61,513,Stade Rennes
1,77,1005,Stade Rennes
2,49,371,Stade Rennes
3,11,67,Stade Rennes
4,20,86,Stade Rennes
0,69,471,VfL Wolfsburg
1,91,1035,VfL Wolfsburg
2,67,446,VfL Wolfsburg
3,8,76,VfL Wolfsburg
4,14,51,VfL Wolfsburg
0,74,499,VfB Stuttgart
1,77,819,VfB Stuttgart
2,42,376,VfB Stuttgart
3,10,87,VfB Stuttgart
4,9,25,VfB Stuttgart
0,35,387,Nurnberg
1,44,604,Nurnberg
2,46,292,Nurnberg
3,2,51,Nurnberg
4,10,31,Nurnberg
0,50,530,Hamburg SV
1,63,899,Hamburg SV
2,30,383,Hamburg SV
3,9,86,Hamburg SV
4,12,37,Hamburg SV
0,85,600,Lille
1,88,1132,Lille
2,54,506,Lille
3,4,58,Lille
4,20,88,Lille
0,68,531,Nice
1,66,791,Nice
2,39,389,Nice
3,5,55,Nice
4,9,36,Nice
0,75,571,Mainz
1,76,895,Mainz
2,33,313,Mainz
3,12,79,Mainz
4,11,48,Mainz
0,47,404,SC Freiburg
1,64,802,SC Freiburg
2,30,233,SC Freiburg
3,11,61,SC Freiburg
4,13,34,SC Freiburg
0,95,670,Juventus
1,107,1464,Juventus
2,48,484,Juventus
3,14,68,Juventus
4,40,173,Juventus
0,85,563,Parma
