id_odsp, team1, team2, team1_won, team2_won, location, team1_goals, team2_goals
00bYNeD8/,Parma,Udinese,1,1,3,2,2
00bYNeD8/,Udinese,Parma,1,1,3,2,2
00LMl81F/,AS Roma,AC Milan,0,1,3,1,3
00LMl81F/,AC Milan,AS Roma,1,0,3,3,1
00o3l4Ui/,Nice,Dijon FCO,1,1,15,1,1
00o3l4Ui/,Dijon FCO,Nice,1,1,15,1,1
00QH2XdM/,Evian Thonon Gaillard,Stade de Reims,0,1,3,2,2
00QH2XdM/,Stade de Reims,Evian Thonon Gaillard,1,0,3,2,2
00WAhrVe/,Borussia Monchengladbach,Hamburg SV,1,0,13,1,1
00WAhrVe/,Hamburg SV,Borussia Monchengladbach,0,1,13,1,1
02zs6b5s/,Real Zaragoza,Malaga,0,1,3,1,4
02zs6b5s/,Malaga,Real Zaragoza,1,0,3,4,1
04fKg3D1/,Real Betis,Granada,1,0,3,3,1
04fKg3D1/,Granada,Real Betis,0,1,3,1,3
06JtM43d/,Nantes,AS Monaco,0,1,3,1,1
06JtM43d/,AS Monaco,Nantes,1,0,3,1,1
08bP6Pp1/,Granada,Deportivo La Coruna,1,1,3,1,1
08bP6Pp1/,Deportivo La Coruna,Granada,1,1,3,1,1
08zJIs1A/,Real Sociedad,Almeria,1,1,3,2,1
08zJIs1A/,Almeria,Real Sociedad,1,1,3,1,2
0A9tJToA/,Hertha Berlin,SC Paderborn,0,1,3,1,1
0A9tJToA/,SC Paderborn,Hertha Berlin,1,0,3,1,1
0AOdGlid/,Granada,Levante,0,1,13,1,1
0AOdGlid/,Levante,Granada,1,0,13,1,1
0CETnw8N/,Mainz,FC Augsburg,1,1,3,1,1
0CETnw8N/,FC Augsburg,Mainz,1,1,3,1,1
0d1GLu17/,Hertha Berlin,Kaiserslautern,0,1,3,1,2
0d1GLu17/,Kaiserslautern,Hertha Berlin,1,0,3,2,1
0d5W4d5q/,Brest,Bordeaux,1,1,3,1,1
0d5W4d5q/,Bordeaux,Brest,1,1,3,1,1
0E56wcFm/,Bastia,Lyon,0,1,3,1,1
0E56wcFm/,Lyon,Bastia,1,0,3,1,1
0fBHrtsN/,Granada,Real Sociedad,0,1,15,1,2
0fBHrtsN/,Real Sociedad,Granada,1,0,15,2,1
0fexjZac/,VfL Wolfsburg,Fortuna Dusseldorf,1,0,14,1,1
0fexjZac/,Fortuna Dusseldorf,VfL Wolfsburg,0,1,14,1,1
0GD66DBA/,St Etienne,Valenciennes,1,0,3,1,1
0GD66DBA/,Valenciennes,St Etienne,0,1,3,1,1
0GO6UkMC/,Celta Vigo,Almeria,1,0,15,1,1
0GO6UkMC/,Almeria,Celta Vigo,0,1,15,1,1
0GUK8LBT/,FC Augsburg,Borussia Dortmund,0,1,3,2,3
0GUK8LBT/,Borussia Dortmund,FC Augsburg,1,0,3,3,2
0jucGMJ5/,Lyon,Lorient,1,1,13,1,1
0jucGMJ5/,Lorient,Lyon,1,1,13,1,1
0l0aFNR2/,Fulham,Tottenham,0,1,3,1,1
0l0aFNR2/,Tottenham,Fulham,1,0,3,1,1
0l1deQCF/,Real Zaragoza,Real Betis,0,1,3,1,2
0l1deQCF/,Real Betis,Real Zaragoza,1,0,3,2,1
0l2G5jVT/,Bologna,Sassuolo,0,1,14,1,1
0l2G5jVT/,Sassuolo,Bologna,1,0,14,1,1
0lrsF4ji/,Valencia,Real Madrid,1,1,3,1,1
0lrsF4ji/,Real Madrid,Valencia,1,1,13,1,1
0lrsF4ji/,Real Madrid,Valencia,1,1,3,1,1
0lrsF4ji/,Valencia,Real Madrid,1,1,13,1,1
0ltLdA4k/,Napoli,Internazionale,1,0,13,1,1
0ltLdA4k/,Napoli,Internazionale,1,0,3,2,1
0ltLdA4k/,Internazionale,Napoli,0,1,13,1,1
0ltLdA4k/,Internazionale,Napoli,0,1,3,1,2
0MAc7tND/,VfL Wolfsburg,Borussia Dortmund,0,1,3,1,4
0MAc7tND/,Borussia Dortmund,VfL Wolfsburg,1,0,3,4,1
0MBQEw3a/,Evian Thonon Gaillard,AC Ajaccio,1,0,9,1,1
0MBQEw3a/,AC Ajaccio,Evian Thonon Gaillard,0,1,9,1,1
0MBuP5i3/,Lens,Marseille,0,1,3,1,1
0MBuP5i3/,Marseille,Lens,1,0,3,1,1
0MkeJfo2/,Sassuolo,Lazio,0,1,3,1,1
0MkeJfo2/,Lazio,Sassuolo,1,0,3,1,1
0MqJ4SAK/,Udinese,Sampdoria,1,1,3,1,2
0MqJ4SAK/,Sampdoria,Udinese,1,1,3,2,1
0MwbLOaf/,Real Madrid,Real Sociedad,1,0,3,3,1
0MwbLOaf/,Real Sociedad,Real Madrid,0,1,3,1,3
0OCCIVd4/,AC Ajaccio,Valenciennes,1,0,3,1,1
0OCCIVd4/,Valenciennes,AC Ajaccio,0,1,3,1,1
0pGxGTNE/,Sevilla,Valencia,0,1,14,1,1
0pGxGTNE/,Valencia,Sevilla,1,0,14,1,1
0QBZCHft/,Athletic Bilbao,Barcelona,0,1,3,1,3
0QBZCHft/,Barcelona,Athletic Bilbao,1,0,3,3,1
0Qcdmg61/,Levante,Eibar,1,0,3,2,1
0Qcdmg61/,Eibar,Levante,0,1,3,1,2
0Qk9dMdb/,St Etienne,Stade Rennes,1,1,13,1,1
0Qk9dMdb/,Stade Rennes,St Etienne,1,1,13,1,1
0UAGJvO3/,Juventus,AS Roma,1,1,3,1,1
