team1,team2,league,num_games,num_won,win_ratio
AC Ajaccio,AJ Auxerre,France,2,1,0.5
AC Ajaccio,AS Monaco,France,1,0,0
AC Ajaccio,AS Nancy Lorraine,France,3,1,0.333333333333333
AC Ajaccio,Bastia,France,2,0,0
AC Ajaccio,Bordeaux,France,3,0,0
AC Ajaccio,Brest,France,2,0,0
AC Ajaccio,Caen,France,1,0,0
AC Ajaccio,Dijon FCO,France,2,1,0.5
AC Ajaccio,Evian Thonon Gaillard,France,5,0,0
AC Ajaccio,Guingamp,France,2,0,0
AC Ajaccio,Lille,France,4,0,0
AC Ajaccio,Lorient,France,3,0,0
AC Ajaccio,Lyon,France,5,2,0.4
AC Ajaccio,Marseille,France,2,0,0
AC Ajaccio,Montpellier,France,3,1,0.333333333333333
AC Ajaccio,Nantes,France,1,0,0
AC Ajaccio,Nice,France,1,0,0
AC Ajaccio,Paris Saint-Germain,France,4,0,0
AC Ajaccio,Sochaux,France,2,1,0.5
AC Ajaccio,St Etienne,France,3,0,0
AC Ajaccio,Stade de Reims,France,3,1,0.333333333333333
AC Ajaccio,Stade Rennes,France,4,1,0.25
AC Ajaccio,Toulouse,France,4,1,0.25
AC Ajaccio,Troyes,France,1,0,0
AC Ajaccio,Valenciennes,France,5,3,0.6
AC Milan,AS Roma,Italy,6,3,0.5
AC Milan,Atalanta,Italy,3,1,0.333333333333333
AC Milan,Bologna,Italy,5,2,0.4
AC Milan,Cagliari,Italy,5,3,0.6
AC Milan,Catania,Italy,4,3,0.75
AC Milan,Cesena,Italy,2,1,0.5
AC Milan,Chievo Verona,Italy,2,2,1
AC Milan,Crotone,Italy,1,1,1
AC Milan,Empoli,Italy,5,2,0.4
AC Milan,Fiorentina,Italy,5,0,0
AC Milan,Frosinone,Italy,2,1,0.5
AC Milan,Genoa,Italy,4,2,0.5
AC Milan,Hellas Verona,Italy,5,1,0.2
AC Milan,Internazionale,Italy,4,0,0
AC Milan,Juventus,Italy,4,0,0
AC Milan,Lazio,Italy,8,2,0.25
AC Milan,Lecce,Italy,1,1,1
